,year,month,day,max,min
327,2018,11,day25,13.207232,7.405174
328,2018,11,day26,12.728123,5.287456
329,2018,11,day27,16.011984,10.790463
330,2018,11,day28,13.797961,7.359437
331,2018,11,day29,14.512333,6.721972
332,2018,11,day3,13.286981,6.238222
333,2018,11,day30,11.318524,6.474423
334,2018,11,day31,14.034366,9.406137
335,2018,11,day4,11.182696,6.317157
336,2018,11,day5,12.976988,6.078648
337,2018,11,day6,15.931439,9.832891
338,2018,11,day7,11.769789,7.367685
339,2018,11,day8,11.236502,6.32657
340,2018,11,day9,11.148446,7.091853
341,2018,12,day1,14.042881,9.742622
342,2018,12,day10,16.885808,9.252163
343,2018,12,day11,17.959787,13.674148
344,2018,12,day12,13.995537,8.765089
345,2018,12,day13,17.493746,11.216918
346,2018,12,day14,14.731664,10.234249
347,2018,12,day15,17.132068,10.333133
348,2018,12,day16,18.656057,12.654169
349,2018,12,day17,15.962771,11.641004
350,2018,12,day18,13.239165,7.51105
351,2018,12,day19,14.93393,9.932458
352,2018,12,day2,13.016054,7.21404
353,2018,12,day20,13.547961,5.700317
354,2018,12,day21,18.015752,11.714955
355,2018,12,day22,18.704718,10.706428
356,2018,12,day23,17.03369,11.955645
357,2018,12,day24,13.24139,6.216315
358,2018,12,day25,15.823005,9.216967
359,2018,12,day26,18.496437,13.77048
360,2018,12,day27,16.511978,9.972839
361,2018,12,day28,15.950355,11.585385
362,2018,12,day29,15.087766,9.754533
363,2018,12,day3,16.562867,11.39783
364,2018,12,day30,17.020801,9.589869
365,2018,12,day31,14.978822,8.204127
366,2018,12,day4,14.388857,7.561034
367,2018,12,day5,17.217925,11.4018
368,2018,12,day6,17.12431,9.428665
369,2018,12,day7,17.726968,11.226736
370,2018,12,day8,16.967098,9.232424
371,2018,12,day9,15.550834,9.372584
372,2019,1,day1,18.729307,10.948533
373,2019,1,day10,21.559943,16.74571
374,2019,1,day11,20.295318,12.584627
375,2019,1,day12,19.628697,12.835696
376,2019,1,day13,17.728557,9.835969
377,2019,1,day14,20.65323,15.69604
378,2019,1,day15,17.950269,11.746913
379,2019,1,day16,20.313508,15.940672
380,2019,1,day17,22.953543,15.301823
381,2019,1,day18,19.768687,15.298823
382,2019,1,day19,21.992859,15.999357
383,2019,1,day2,21.881396,15.68101
384,2019,1,day20,21.29962,15.264132
385,2019,1,day21,18.640549,11.301654
386,2019,1,day22,22.881468,17.906544
387,2019,1,day23,20.30759,14.773246
388,2019,1,day24,22.531209,16.498245
389,2019,1,day25,22.275958,14.81985
390,2019,1,day26,18.657484,11.49746
391,2019,1,day27,19.489655,11.752661
392,2019,1,day28,20.046426,12.764228
393,2019,1,day29,18.697034,13.502811
394,2019,1,day3,19.728955,14.470887
395,2019,1,day30,20.521626,12.526017
396,2019,1,day31,19.937842,15.34346
397,2019,1,day4,18.939643,11.058904
398,2019,1,day5,19.42505,13.366665
399,2019,1,day6,22.928715,16.298074
400,2019,1,day7,20.255562,14.602571
401,2019,1,day8,18.125495,12.678378
402,2019,1,day9,21.538659,15.037024
403,2019,2,day1,24.231483,18.850988
404,2019,2,day10,26.884909,20.903594
405,2019,2,day11,21.222118,15.212953
406,2019,2,day12,24.541083,17.062281
407,2019,2,day13,26.245142,20.483917
408,2019,2,day14,24.155707,18.327994
409,2019,2,day15,25.334663,19.694748
410,2019,2,day16,24.928688,20.311243
411,2019,2,day17,23.816944,15.940129
412,2019,2,day18,23.031367,16.260549
413,2019,2,day19,24.89902,17.491959
414,2019,2,day2,24.311505,18.137784
415,2019,2,day20,26.114048,18.676679
416,2019,2,day21,23.280056,18.013412
417,2019,2,day22,25.312305,18.274697
418,2019,2,day23,26.234298,22.090702
419,2019,2,day24,21.410524,14.88588
420,2019,2,day25,26.525575,18.535871
421,2019,2,day26,25.480598,19.744712
422,2019,2,day27,21.590659,15.055667
423,2019,2,day28,26.235475,20.460761
424,2019,2,day29,25.164007,17.550311
425,2019,2,day3,23.732068,18.444958
426,2019,2,day30,21.275946,14.091372
427,2019,2,day31,22.760207,17.260842
428,2019,2,day4,22.131914,15.341921
429,2019,2,day5,24.430786,19.496536
430,2019,2,day6,25.653267,21.478678
431,2019,2,day7,25.468231,18.647319
432,2019,2,day8,25.868453,20.324138
433,2019,2,day9,24.982133,17.699143
434,2019,3,day1,24.801622,18.676957
435,2019,3,day10,24.876057,19.109138
436,2019,3,day11,26.001597,19.65131
437,2019,3,day12,27.761835,22.0646
438,2019,3,day13,25.428793,18.047577
439,2019,3,day14,25.123505,19.584732
440,2019,3,day15,26.827452,21.878629
441,2019,3,day16,27.359739,21.060492
442,2019,3,day17,29.884355,24.703432
443,2019,3,day18,29.79587,23.162951
444,2019,3,day19,25.575086,19.311369
445,2019,3,day2,27.323772,20.153694
446,2019,3,day20,28.043,21.064325
447,2019,3,day21,24.222469,17.796843
448,2019,3,day22,26.908567,19.291946
449,2019,3,day23,25.645368,18.449928
450,2019,3,day24,27.570593,22.161309
451,2019,3,day25,27.74791,21.264346
452,2019,3,day26,27.99479,21.111076
453,2019,3,day27,27.883292,20.529944
454,2019,3,day28,27.697692,20.084077
455,2019,3,day29,27.806247,22.570515
456,2019,3,day3,24.948105,20.632232
457,2019,3,day30,26.573142,20.254847
458,2019,3,day31,28.322362,23.961828
459,2019,3,day4,29.153241,22.674399
460,2019,3,day5,25.373182,17.721866
461,2019,3,day6,24.78691,18.94231
462,2019,3,day7,25.452067,20.43076
463,2019,3,day8,23.984588,16.766056
464,2019,3,day9,29.33546,22.625016
465,2019,4,day1,26.770663,19.780739
466,2019,4,day10,30.799001,23.358439
467,2019,4,day11,29.3453,21.425531
468,2019,4,day12,30.803618,23.585268
469,2019,4,day13,27.19465,20.031922
470,2019,4,day14,25.083512,18.937223
471,2019,4,day15,27.728716,21.037403
472,2019,4,day16,29.034045,22.695804
473,2019,4,day17,29.934504,22.173336
474,2019,4,day18,25.650077,20.714789
475,2019,4,day19,25.150148,17.613209
476,2019,4,day2,26.05384,21.525201
477,2019,4,day20,28.368444,20.707421
478,2019,4,day21,26.328203,22.075335
479,2019,4,day22,29.943132,22.305582
480,2019,4,day23,26.813141,21.179958
481,2019,4,day24,25.838662,18.053616
482,2019,4,day25,26.826188,20.855689
483,2019,4,day26,25.583152,18.034115
484,2019,4,day27,25.813984,19.999409
485,2019,4,day28,29.022917,22.050357
486,2019,4,day29,30.675845,24.999338
487,2019,4,day3,28.236447,20.350488
488,2019,4,day30,29.453614,24.835522
489,2019,4,day31,27.489307,23.093221
490,2019,4,day4,28.185114,20.531166
491,2019,4,day5,29.982836,24.954955
492,2019,4,day6,29.948139,24.020748
493,2019,4,day7,29.838931,22.852694
494,2019,4,day8,27.032292,22.571613
495,2019,4,day9,30.77736,26.214332
496,2019,5,day1,26.864285,21.231822
497,2019,5,day10,27.904816,21.337998
498,2019,5,day11,27.511079,23.425649
499,2019,5,day12,28.648971,23.674695
500,2019,5,day13,24.683747,18.425435
501,2019,5,day14,24.339864,17.279235
502,2019,5,day15,25.171147,20.307342
503,2019,5,day16,29.146376,23.832138
504,2019,5,day17,24.813528,17.211404
505,2019,5,day18,23.945217,16.511592
506,2019,5,day19,24.796331,20.276363
507,2019,5,day2,29.637332,25.506467
508,2019,5,day20,25.432128,20.73414
509,2019,5,day21,27.894549,23.791428
510,2019,5,day22,24.017365,16.857427
511,2019,5,day23,25.355793,20.060707
512,2019,5,day24,24.97368,20.764084
513,2019,5,day25,28.378512,22.274169
514,2019,5,day26,28.402195,22.497211
515,2019,5,day27,28.596305,22.543354
516,2019,5,day28,24.582527,18.567173
517,2019,5,day29,29.600697,25.427237
518,2019,5,day3,26.151383,20.377851
519,2019,5,day30,28.627565,21.159642
520,2019,5,day31,27.056911,21.22474
521,2019,5,day4,29.631534,22.209733
522,2019,5,day5,24.524331,17.78161
523,2019,5,day6,27.194998,19.283628
524,2019,5,day7,26.080246,20.487688
525,2019,5,day8,25.067055,20.578416
526,2019,5,day9,29.016402,23.197533
527,2019,6,day1,26.784157,22.540855
528,2019,6,day10,24.632561,20.235847
529,2019,6,day11,25.210677,17.799506
530,2019,6,day12,24.9055,17.829649
531,2019,6,day13,25.325039,20.464947
532,2019,6,day14,23.709329,18.795355
533,2019,6,day15,23.03359,17.219594
534,2019,6,day16,23.495938,19.115595
535,2019,6,day17,23.560584,16.900153
536,2019,6,day18,23.245806,18.63525
537,2019,6,day19,26.53791,22.269377
538,2019,6,day2,23.873891,18.267422
539,2019,6,day20,25.990631,21.617711
540,2019,6,day21,21.579387,14.624203
541,2019,6,day22,25.870616,19.645133
542,2019,6,day23,24.51879,18.272445
543,2019,6,day24,22.977876,18.488951
544,2019,6,day25,23.121588,16.460226
545,2019,6,day26,25.501706,18.029337
546,2019,6,day27,25.326364,17.45277
547,2019,6,day28,24.602461,19.195876
548,2019,6,day29,24.467511,19.616556
549,2019,6,day3,25.116585,19.15551
550,2019,6,day30,24.940418,20.043438
551,2019,6,day31,21.64931,14.267817
552,2019,6,day4,26.458205,22.164242
553,2019,6,day5,21.484743,15.051553
554,2019,6,day6,21.394093,16.294029
555,2019,6,day7,24.79846,18.605035
556,2019,6,day8,22.951113,14.972602
557,2019,6,day9,24.183341,18.368479
558,2019,7,day1,19.205366,12.154944
559,2019,7,day10,22.219176,15.953892
560,2019,7,day11,19.404706,14.837207
561,2019,7,day12,20.799032,16.676404
562,2019,7,day13,21.476671,16.616139
563,2019,7,day14,19.518995,14.155411
564,2019,7,day15,19.220319,12.333935
565,2019,7,day16,21.661014,15.390639
566,2019,7,day17,17.509742,13.299307
567,2019,7,day18,17.944459,11.473107
568,2019,7,day19,21.043812,15.955401
569,2019,7,day2,20.4446,13.215715
570,2019,7,day20,20.971632,15.028985
571,2019,7,day21,19.652265,14.559598
572,2019,7,day22,21.529659,17.074389
573,2019,7,day23,19.579482,14.446496
574,2019,7,day24,21.070918,15.124387
575,2019,7,day25,21.002795,16.821126
576,2019,7,day26,19.37158,12.974281
577,2019,7,day27,17.046123,11.840445
578,2019,7,day28,18.267404,13.718465
579,2019,7,day29,18.533117,13.220628
580,2019,7,day3,22.070931,14.172745
581,2019,7,day30,17.046379,10.058323
582,2019,7,day31,18.054169,12.533339
583,2019,7,day4,21.910561,15.456268
584,2019,7,day5,20.856195,16.75118
585,2019,7,day6,22.574506,15.256663
586,2019,7,day7,18.604686,13.883022
587,2019,7,day8,21.216193,15.980254
588,2019,7,day9,19.038948,15.014525
589,2019,8,day1,17.222028,11.220978
590,2019,8,day10,16.708752,9.380648
591,2019,8,day11,18.518619,14.166099
592,2019,8,day12,18.066906,13.09364
593,2019,8,day13,16.533228,10.437378
594,2019,8,day14,15.3746,10.133502
595,2019,8,day15,15.03708,9.704805
596,2019,8,day16,14.008796,7.966863
597,2019,8,day17,13.68416,7.644352
598,2019,8,day18,18.435536,13.038035
599,2019,8,day19,17.364275,10.08848
600,2019,8,day2,18.000125,10.775324
601,2019,8,day20,17.890222,12.945147
602,2019,8,day21,13.878665,9.089578
603,2019,8,day22,16.614394,9.573533
604,2019,8,day23,16.933054,12.22447
605,2019,8,day24,17.637089,11.66062
606,2019,8,day25,17.526675,10.487166
607,2019,8,day26,15.693432,7.996815
608,2019,8,day27,16.386951,9.845757
609,2019,8,day28,16.747131,9.290143
610,2019,8,day29,16.763304,12.159475
611,2019,8,day3,13.432453,5.985396
612,2019,8,day30,13.409718,7.640885
613,2019,8,day31,14.816923,9.718228
614,2019,8,day4,13.253814,9.178847
615,2019,8,day5,18.526975,11.078535
616,2019,8,day6,16.454555,10.160956
617,2019,8,day7,17.256994,11.586218
618,2019,8,day8,13.69104,9.607614
619,2019,8,day9,14.948609,7.74332
620,2019,9,day1,10.408829,4.379482
621,2019,9,day10,12.000957,6.098441
622,2019,9,day11,10.976963,6.729468
623,2019,9,day12,10.692808,3.096301
624,2019,9,day13,12.132423,5.275161
625,2019,9,day14,13.099091,8.408855
626,2019,9,day15,11.558259,5.807226
627,2019,9,day16,12.708328,6.617335
628,2019,9,day17,11.024274,5.532866
629,2019,9,day18,11.769158,6.134081
630,2019,9,day19,12.102,5.710456
631,2019,9,day2,11.934244,6.126588
632,2019,9,day20,14.807158,8.217937
633,2019,9,day21,10.467268,6.089244
634,2019,9,day22,14.142073,9.005485
635,2019,9,day23,14.414199,7.787942
636,2019,9,day24,15.509853,8.016734
637,2019,9,day25,12.071969,5.741011
638,2019,9,day26,10.920367,5.521084
639,2019,9,day27,15.877976,9.084056
640,2019,9,day28,12.423545,6.04338
641,2019,9,day29,15.69981,10.461482
642,2019,9,day3,10.413137,3.086351
643,2019,9,day30,12.331873,5.165225
644,2019,9,day31,14.950905,8.27044
645,2019,9,day4,10.532183,3.075183
646,2019,9,day5,15.203557,8.743523
647,2019,9,day6,13.114204,7.263357
648,2019,9,day7,13.397695,6.230424
649,2019,9,day8,15.447057,9.648123
650,2019,9,day9,14.930692,8.323342
651,2019,10,day1,13.973754,7.018655
652,2019,10,day10,14.010719,6.47599
653,2019,10,day11,9.226485,3.879427
654,2019,10,day12,13.597846,9.073649
655,2019,10,day13,11.260319,6.61133
656,2019,10,day14,13.98807,6.903679
657,2019,10,day15,13.854262,9.192106
658,2019,10,day16,11.62604,5.982606
659,2019,10,day17,13.058178,8.108057
660,2019,10,day18,11.665192,6.525481
661,2019,10,day19,13.491219,7.695507
662,2019,10,day2,13.112487,7.006913
663,2019,10,day20,12.204067,6.966195
664,2019,10,day21,13.851743,7.975681
665,2019,10,day22,14.01068,8.539317
666,2019,10,day23,14.682781,6.745022
667,2019,10,day24,11.77008,6.642993
668,2019,10,day25,11.291235,5.181395
669,2019,10,day26,14.797609,7.530044
670,2019,10,day27,13.807555,9.253961
671,2019,10,day28,10.500019,3.935303
672,2019,10,day29,14.244702,8.026539
673,2019,10,day3,12.876149,7.182523
674,2019,10,day30,9.615538,2.231969
675,2019,10,day31,14.106996,8.966744
676,2019,10,day4,11.170969,5.720578
677,2019,10,day5,10.081578,5.224807
678,2019,10,day6,14.68601,8.740926
679,2019,10,day7,10.359258,5.808997
680,2019,10,day8,9.462991,2.085277
681,2019,10,day9,9.606845,2.523346
682,2019,11,day1,14.650498,9.559333
683,2019,11,day10,13.971561,6.806038
684,2019,11,day11,10.897394,5.749877
685,2019,11,day12,15.050366,8.266078
686,2019,11,day13,10.904553,4.082408
687,2019,11,day14,12.763406,8.742401
688,2019,11,day15,10.547151,5.523456
689,2019,11,day16,15.081575,8.886358
690,2019,11,day17,14.435205,8.324119
691,2019,11,day18,10.738918,5.586512
692,2019,11,day19,11.878704,7.687706
693,2019,11,day2,15.503634,10.914239
694,2019,11,day20,12.59075,5.415154
695,2019,11,day21,12.814478,8.371047
696,2019,11,day22,15.502678,9.115722
697,2019,11,day23,10.170409,4.108906
698,2019,11,day24,11.523426,6.949118
